127.0.0.1 - - [12/Nov/2024:09:09:48 -0500] "GET / HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:27 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:27 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:27 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:27 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:27 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:32:58 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/delete/1675 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:32:58 -0500] "DELETE /IndusStudentDaoRestService/rest/student/delete/1675 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:06 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:06 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:07 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:07 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:08 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:08 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:08 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:08 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:08 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:08 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:09 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:09 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:36 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Tejaa&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:33:36 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Tejaa&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:34:51 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/123?firstName=Navya&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:34:52 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/123?firstName=Navya&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:35:01 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/12388?firstName=Navya&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:35:01 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/12388?firstName=Navya&lastName=Bade HTTP/1.1" 400 25
